Feature,Feature Importance,Description
PLGF,0.0115,Placental growth factor (PLGF) (pg/mL)
U2CD06,0.0113,(U2C) Right Uterine Artery - Resistance Index (RI)
SFLT1,0.0112,sFlt-1 (pg/mL)
PAPPA_1,0.0112,Pregnancy-associated plasma protein A (PAPP-A) (mU/mL)
V1BA06b1,0.0111,(V1B) Resting blood pressure - Diastolic (mm Hg) measure 1
VXXB01aa_V1a,0.0110,"(VXX) Medical conditions or diagnoses, High blood pressure (hypertension) - Condition noted, Visit 1"
VXXB01ai_V2a,0.0109,"(VXX) Medical conditions or diagnoses, Other structural heart disease - Condition noted, Visit 2"
PAPPA,0.0108,Pregnancy-associated plasma protein A (PAPP-A) (mU/mL)
CLAB02d2,0.0107,(CLA) First trimester serum screen PAPP-A Results - Multiples of the median (MoM)
U2CC04,0.0107,(U2C) Left Uterine Artery - Peak Systolic Velocity (PSV) (cm/sec)
AFP_1,0.0107,Alpha fetoprotein (AFP) (IU/mL)
U1CC06,0.0107,(U1C) Left Uterine Artery - Resistance Index (RI)
VEGF,0.0107,Vascular endothelial growth factor (VEGF) (pg/mL)
Age_at_V1,0.0106,Age (years) at visit 1 calculated from DOB (V1AB01) and the form completion date
fbHCG_1,0.0105,Free beta human chorionic gonadotropin (fbHCG) (ng/mL)
CLAB02d1b,0.0105,(CLA) First trimester serum screen PAPP-A Results - μU/mL
DT_MFAT,0.0103,"Monounsaturated fatty acids, grams"
U1CD06,0.0103,(U1C) Right Uterine Artery - Resistance Index (RI)
INHIBINA,0.0103,Inhibin A (pg/mL)
V2AE06e,0.0102,"(V2A) Have any of your biological mother, sisters, half-sisters, or female first cousins ever had pregnancy complications - Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension"
ADAM12,0.0102,ADAM-12 (ng/mL)
ADAM12_1,0.0101,ADAM-12 (ng/mL)
Systolic_CHG_V2,0.0101,(V2 BP / V1 BP) - 1
AFP,0.0101,Alpha fetoprotein (AFP) (IU/mL)
DT_CHOL,0.0099,"Cholesterol, mg"
SFLT1_1,0.0099,Soluble fms-like tyrosine kinase 1 (sFlt-1) (pg/mL)
VXXB01aj_V2a,0.0098,"(VXX) Medical conditions or diagnoses, Coronary artery disease / congestive heart failure (angina, heart attack, heart failure) - Condition noted, Visit 2"
U2CC06,0.0097,(U2C) Left Uterine Artery - Resistance Index (RI)
VXXB01al_V2a,0.0097,"(VXX) Medical conditions or diagnoses, Kidney disease - Condition noted, Visit 2"
Diastolic_CHG_V2,0.0094,(V2 BP / V1 BP) - 1
CLAC01f1,0.0094,(CLA) Inhibin A (DIA) Results - Value pg/mL
U2CD07,0.0093,(U2C) Right Uterine Artery - Pulsatility Index (PI)
U1CD07,0.0093,(U1C) Right Uterine Artery - Pulsatility Index (PI)
CLAB02d1c,0.0091,(CLA) First trimester serum screen PAPP-A Results - μg/mL
VXXB01ae_V1a,0.0085,"(VXX) Medical conditions or diagnoses, Diabetes (excluding gestational diabetes in a prior pregnancy) - Condition noted, Visit 1"
fbHCG,0.0083,Free beta human chorionic gonadotropin (fbHCG) (ng/mL)
VXXB01aq_V2a,0.0081,"(VXX) Medical conditions or diagnoses, Anemia - Recent use of medication, Visit 2"
V1AE01,0.0080,"(V1A) Including this pregnancy, how many times have you been pregnant - number of pregnancies"
VXXB01av_V2a,0.0077,"(VXX) Medical conditions or diagnoses, Rheumatoid arthritis - Recent use of medication, Visit 2"
U1CD09,0.0076,(U1C) Right Uterine Artery - Early diastolic notch present
VXXB01bc3_V2a,0.0075,"(VXX) Medical conditions or diagnoses, Gynecological Conditions, Polycystic ovary disease (PCOS) - Condition noted, Visit 2"
CLAB02d1d,0.0074,(CLA) First trimester serum screen PAPP-A Results - ng/mL
VXXB01bc3_V1a,0.0074,"(VXX) Medical conditions or diagnoses, Gynecological Conditions, Polycystic ovary disease (PCOS) - Condition noted, Visit 1"
VXXB01az_V1a,0.0073,"(VXX) Medical conditions or diagnoses, Liver/gall bladder disease - Recent use of medication, Visit 1"
VXXB01ae1_V2a,0.0071,"(VXX) Medical conditions or diagnoses, Diabetes, onset during pregnancy (gestational diabetes) - Condition noted, Visit 2"
U1CC07,0.0069,(U1C) Left Uterine Artery - Pulsatility Index (PI)
Race,0.0068,Race/ethnicity category derived from V1AF05 and V1AF07a-g
CLAB02d1a,0.0066,(CLA) First trimester serum screen PAPP-A Results - IU/mL
VXXB01at_V2a,0.0066,"(VXX) Medical conditions or diagnoses, Antiphospholipid syndrome (APA) or other acquired thrombophilia - Condition noted, Visit 2"
VXXB01an_V2a,0.0061,"(VXX) Medical conditions or diagnoses, Sickle cell disease - Recent use of medication, Visit 2"
V1LF01a,0.0060,(V1L) Have you ever been told by a doctor or other health professionals that you have - Sleep apnea or obstructive sleep apnea
CLAE08a1,0.0058,(CLA) First formal proteinuria quantification (if done prior to 20/0 weeks project EGA) - Total protein (mg/24hr) (a)
U1CC09,0.0056,(U1C) Left Uterine Artery - Early diastolic notch present
VXXB01ak_V1a,0.0056,"(VXX) Medical conditions or diagnoses, Cardiac arrhythmias - Condition noted, Visit 1"
VXXB01ar_V1a,0.0052,"(VXX) Medical conditions or diagnoses, History of blood clots (thrombosis or thromboembolism) or stroke - Condition noted, Visit 1"
VXXB01al_V1a,0.0052,"(VXX) Medical conditions or diagnoses, Kidney disease - Condition noted, Visit 1"
VXXB01au_V1a,0.0050,"(VXX) Medical conditions or diagnoses, Systemic lupus erythematosus (SLE) - Condition noted, Visit 1"
VXXB01aq_V1a,0.0049,"(VXX) Medical conditions or diagnoses, Anemia - Recent use of medication, Visit 1"
CLAE08a2,0.0044,(CLA) First formal proteinuria quantification (if done prior to 20/0 weeks project EGA) - Total creatinine (mg/24hr)
VXXB01ap_V1a,0.0042,"(VXX) Medical conditions or diagnoses, Thrombocytopenia - Condition noted, Visit 1"
VXXB01av_V1a,0.0040,"(VXX) Medical conditions or diagnoses, Rheumatoid arthritis - Recent use of medication, Visit 1"
PAPPAc,0.0038,Pregnancy-associated plasma protein A (PAPP-A) values categorized
VXXB01au_V2a,0.0037,"(VXX) Medical conditions or diagnoses, Systemic lupus erythematosus (SLE) - Condition noted, Visit 2"
VXXB01ah_V1a,0.0034,"(VXX) Medical conditions or diagnoses, Valvular heart disease - Condition noted, Visit 1"
VXXB01ai_V1a,0.0033,"(VXX) Medical conditions or diagnoses, Other structural heart disease - Condition noted, Visit 1"
VXXB01an_V1a,0.0014,"(VXX) Medical conditions or diagnoses, Sickle cell disease - Recent use of medication, Visit 1"
VXXB01aj_V1a,0.0012,"(VXX) Medical conditions or diagnoses, Coronary artery disease / congestive heart failure (angina, heart attack, heart failure) - Condition noted, Visit 1"
VXXB01at_V1a,0.0007,"(VXX) Medical conditions or diagnoses, Antiphospholipid syndrome (APA) or other acquired thrombophilia - Condition noted, Visit 1"
CLAE08b1b,0.0006,(CLA) First formal proteinuria quantification (if done prior to 20/0 weeks project EGA) - Result (mg/g) (b)
PLGFc,0.0002,Placental growth factor (PLGF) values categorized
CLAE08b1a,0.0000,(CLA) First formal proteinuria quantification (if done prior to 20/0 weeks project EGA) - Result (g/g or no units) (b)
SFLT1c,0.0000,sFlt-1 values categorized
VXXB01ay_V2a,0.0000,"(VXX) Medical conditions or diagnoses, Cholestasis of pregnancy - Condition noted, Visit 2"
